"","date","hits","keyword","geo","gprop","category"
"294",2012-11-10 23:00:00,9,"children games","GB","web",0
"295",2012-11-17 23:00:00,6,"children games","GB","web",0
"296",2012-11-24 23:00:00,6,"children games","GB","web",0
"297",2012-12-01 23:00:00,6,"children games","GB","web",0
"298",2012-12-08 23:00:00,6,"children games","GB","web",0
"299",2012-12-15 23:00:00,7,"children games","GB","web",0
"300",2012-12-22 23:00:00,4,"children games","GB","web",0
"301",2012-12-29 23:00:00,3,"children games","GB","web",0
"302",2013-01-05 23:00:00,4,"children games","GB","web",0
"303",2013-01-12 23:00:00,4,"children games","GB","web",0
"304",2013-01-19 23:00:00,4,"children games","GB","web",0
"305",2013-01-26 23:00:00,5,"children games","GB","web",0
"306",2013-02-02 23:00:00,5,"children games","GB","web",0
"307",2013-02-09 23:00:00,4,"children games","GB","web",0
"308",2013-02-16 23:00:00,4,"children games","GB","web",0
"309",2013-02-23 23:00:00,4,"children games","GB","web",0
"310",2013-03-02 23:00:00,5,"children games","GB","web",0
"311",2013-03-09 23:00:00,5,"children games","GB","web",0
"312",2013-03-16 23:00:00,5,"children games","GB","web",0
"313",2013-03-23 23:00:00,4,"children games","GB","web",0
"314",2013-03-30 23:00:00,3,"children games","GB","web",0
"315",2013-04-06 22:00:00,3,"children games","GB","web",0
"316",2013-04-13 22:00:00,4,"children games","GB","web",0
"317",2013-04-20 22:00:00,4,"children games","GB","web",0
"318",2013-04-27 22:00:00,4,"children games","GB","web",0
"319",2013-05-04 22:00:00,4,"children games","GB","web",0
"320",2013-05-11 22:00:00,4,"children games","GB","web",0
"321",2013-05-18 22:00:00,4,"children games","GB","web",0
"322",2013-05-25 22:00:00,3,"children games","GB","web",0
"323",2013-06-01 22:00:00,3,"children games","GB","web",0
"324",2013-06-08 22:00:00,3,"children games","GB","web",0
"325",2013-06-15 22:00:00,4,"children games","GB","web",0
"326",2013-06-22 22:00:00,4,"children games","GB","web",0
"327",2013-06-29 22:00:00,4,"children games","GB","web",0
"328",2013-07-06 22:00:00,3,"children games","GB","web",0
"329",2013-07-13 22:00:00,3,"children games","GB","web",0
"330",2013-07-20 22:00:00,2,"children games","GB","web",0
"331",2013-07-27 22:00:00,2,"children games","GB","web",0
"332",2013-08-03 22:00:00,2,"children games","GB","web",0
"333",2013-08-10 22:00:00,3,"children games","GB","web",0
"334",2013-08-17 22:00:00,2,"children games","GB","web",0
"335",2013-08-24 22:00:00,2,"children games","GB","web",0
"336",2013-08-31 22:00:00,3,"children games","GB","web",0
"337",2013-09-07 22:00:00,4,"children games","GB","web",0
"338",2013-09-14 22:00:00,4,"children games","GB","web",0
"339",2013-09-21 22:00:00,4,"children games","GB","web",0
"340",2013-09-28 22:00:00,5,"children games","GB","web",0
"341",2013-10-05 22:00:00,4,"children games","GB","web",0
"342",2013-10-12 22:00:00,4,"children games","GB","web",0
"343",2013-10-19 22:00:00,5,"children games","GB","web",0
"344",2013-10-26 22:00:00,4,"children games","GB","web",0
"345",2013-11-02 23:00:00,5,"children games","GB","web",0
"346",2013-11-09 23:00:00,10,"children games","GB","web",0
"347",2013-11-16 23:00:00,6,"children games","GB","web",0
"348",2013-11-23 23:00:00,5,"children games","GB","web",0
"349",2013-11-30 23:00:00,4,"children games","GB","web",0
"350",2013-12-07 23:00:00,5,"children games","GB","web",0
"351",2013-12-14 23:00:00,4,"children games","GB","web",0
"352",2013-12-21 23:00:00,2,"children games","GB","web",0
"353",2013-12-28 23:00:00,2,"children games","GB","web",0
