"i","date","hits","keyword","geo","gprop","category"
2,2014-09-27 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-10-04 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-10-11 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-10-18 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-10-25 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-11-01 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-11-08 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-11-15 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-11-22 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-11-29 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-12-06 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-12-13 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-12-20 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2014-12-27 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-01-03 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-01-10 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-01-17 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-01-24 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-01-31 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-02-07 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-02-14 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-02-21 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-02-28 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-03-07 23:00:00,1,"Alzheimer's Society","GB","web",0
2,2015-03-14 23:00:00,1,"Alzheimer's Society","GB","web",0
2,2015-03-21 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-03-28 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-04-04 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-04-11 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-04-18 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-04-25 22:00:00,1,"Alzheimer's Society","GB","web",0
2,2015-05-02 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-05-09 22:00:00,1,"Alzheimer's Society","GB","web",0
2,2015-05-16 22:00:00,1,"Alzheimer's Society","GB","web",0
2,2015-05-23 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-05-30 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-06-06 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-06-13 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-06-20 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-06-27 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-07-04 22:00:00,1,"Alzheimer's Society","GB","web",0
2,2015-07-11 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-07-18 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-07-25 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-08-01 22:00:00,1,"Alzheimer's Society","GB","web",0
2,2015-08-08 22:00:00,1,"Alzheimer's Society","GB","web",0
2,2015-08-15 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-08-22 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-08-29 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-09-05 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-09-12 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-09-19 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-09-26 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-10-03 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-10-10 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-10-17 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-10-24 22:00:00,1,"Alzheimer's Society","GB","web",0
2,2015-10-31 23:00:00,1,"Alzheimer's Society","GB","web",0
2,2015-11-07 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-11-14 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-11-21 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-11-28 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-12-05 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-12-12 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-12-19 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2015-12-26 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-01-02 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-01-09 23:00:00,1,"Alzheimer's Society","GB","web",0
2,2016-01-16 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-01-23 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-01-30 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-02-06 23:00:00,1,"Alzheimer's Society","GB","web",0
2,2016-02-13 23:00:00,1,"Alzheimer's Society","GB","web",0
2,2016-02-20 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-02-27 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-03-05 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-03-12 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-03-19 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-03-26 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-04-02 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-04-09 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-04-16 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-04-23 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-04-30 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-05-07 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-05-14 22:00:00,1,"Alzheimer's Society","GB","web",0
2,2016-05-21 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-05-28 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-06-04 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-06-11 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-06-18 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-06-25 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-07-02 22:00:00,1,"Alzheimer's Society","GB","web",0
2,2016-07-09 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-07-16 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-07-23 22:00:00,1,"Alzheimer's Society","GB","web",0
2,2016-07-30 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-08-06 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-08-13 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-08-20 22:00:00,1,"Alzheimer's Society","GB","web",0
2,2016-08-27 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-09-03 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-09-10 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-09-17 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-09-24 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-10-01 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-10-08 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-10-15 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-10-22 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-10-29 22:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-11-05 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-11-12 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-11-19 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-11-26 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-12-03 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-12-10 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-12-17 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-12-24 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2016-12-31 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2017-01-07 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2017-01-14 23:00:00,1,"Alzheimer's Society","GB","web",0
2,2017-01-21 23:00:00,1,"Alzheimer's Society","GB","web",0
2,2017-01-28 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2017-02-04 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2017-02-11 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2017-02-18 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2017-02-25 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2017-03-04 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2017-03-11 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2017-03-18 23:00:00,0,"Alzheimer's Society","GB","web",0
2,2012-03-24 23:00:00,2,"Amnesty International","GB","web",0
2,2012-03-31 22:00:00,2,"Amnesty International","GB","web",0
